Time_s,Coherence,SNR,Frequency_Hz
178.0,0.5661,1.1323,228.0
179.0,0.6301,1.2602,227.5
180.0,0.7928,1.5856,228.5
181.0,0.8395,1.679,232.0
182.0,0.9108,1.8216,228.0
183.0,0.6925,1.385,231.0
184.0,0.7333,1.4666,232.5
185.0,0.7146,1.4292,230.0
186.0,0.7189,1.4377,231.0
187.0,0.8072,1.6144,232.0
188.0,0.8029,1.6058,228.5
189.0,0.843,1.686,228.5
190.0,0.8412,1.6824,228.0
191.0,0.759,1.5181,228.0
192.0,0.7984,1.5969,232.0
193.0,0.7746,1.5492,229.0
194.0,0.647,1.2939,230.0
195.0,0.7908,1.5817,228.5
196.0,0.7242,1.4484,229.0
197.0,0.7211,1.4422,232.0
198.0,0.9121,1.8243,230.0
199.0,0.7952,1.5904,229.5
200.0,0.863,1.7261,227.5
201.0,0.8479,1.6958,227.5
202.0,0.6166,1.2331,232.5
203.0,0.7908,1.5816,229.5
204.0,0.7409,1.4817,229.5
205.0,0.9645,1.9289,230.0
206.0,0.6116,1.2233,232.5
207.0,0.5607,1.1215,229.0
208.0,0.6626,1.3251,230.0
209.0,0.5967,1.1934,230.0
210.0,0.7287,1.4575,227.5
211.0,0.802,1.604,232.0
212.0,0.8706,1.7411,231.5
213.0,0.7188,1.4375,228.5
214.0,0.9625,1.9249,232.5
215.0,0.8956,1.7912,232.5
216.0,0.7881,1.5762,231.0
217.0,0.8619,1.7237,228.5
218.0,0.8876,1.7752,228.5
219.0,0.7175,1.435,231.0
220.0,0.7715,1.5429,228.0
221.0,0.8504,1.7008,228.0
222.0,0.8369,1.6738,230.0
223.0,0.7844,1.5688,229.5
224.0,0.7367,1.4733,232.5
225.0,0.5714,1.1427,229.5
226.0,0.9586,1.9172,229.0
227.0,0.7566,1.5131,229.0
228.0,0.3045,0.6089,229.5
229.0,0.5689,1.1378,227.5
230.0,0.7867,1.5734,227.5
231.0,0.859,1.718,231.0
232.0,0.8094,1.6188,229.5
233.0,0.7701,1.5402,231.0
234.0,0.799,1.5979,231.5
235.0,0.7625,1.525,232.5
236.0,0.7951,1.5903,232.5
237.0,0.9023,1.8046,229.0
238.0,0.5874,1.1749,232.0
239.0,0.4459,0.8919,232.0
240.0,0.5936,1.1872,232.5
241.0,0.6814,1.3627,228.5
242.0,0.8868,1.7737,228.5
243.0,0.9301,1.8603,228.5
244.0,0.6829,1.3658,228.0
245.0,0.4581,0.9162,230.0
246.0,0.9481,1.8962,231.0
247.0,0.4568,0.9136,230.0
248.0,0.8036,1.6072,231.5
249.0,0.5511,1.1021,227.5
250.0,0.5273,1.0546,232.5
251.0,0.5184,1.0368,228.0
252.0,0.6213,1.2425,228.5
253.0,0.8219,1.6439,228.5
254.0,0.9582,1.9164,228.5
255.0,0.8633,1.7265,231.0
256.0,0.7171,1.4341,232.5
257.0,0.6784,1.3567,232.5
258.0,0.5477,1.0955,228.5
259.0,0.465,0.9301,228.5
260.0,0.4588,0.9177,231.0
261.0,0.7752,1.5504,227.5
262.0,0.8605,1.721,228.0
263.0,0.7069,1.4138,227.5
264.0,0.6943,1.3886,231.0
265.0,0.6033,1.2066,229.0
266.0,0.5963,1.1926,231.5
267.0,0.6765,1.353,231.5
268.0,0.529,1.0579,230.0
269.0,0.8666,1.7331,230.0
270.0,0.7334,1.4668,229.0
271.0,0.8039,1.6078,232.5
272.0,0.7109,1.4217,229.5
273.0,0.641,1.2819,232.5
274.0,0.7181,1.4362,229.0
275.0,0.7969,1.5938,229.0
276.0,0.8329,1.6659,229.0
277.0,0.6232,1.2463,232.0
278.0,0.5499,1.0998,228.0
279.0,0.7397,1.4793,228.0
280.0,0.7163,1.4325,231.5
281.0,0.8715,1.743,231.0
282.0,0.8622,1.7244,230.5
283.0,0.7103,1.4206,229.0
284.0,0.6964,1.3927,231.0
285.0,0.8085,1.617,228.0
286.0,0.8154,1.6307,229.0
287.0,0.513,1.026,231.5
288.0,0.6437,1.2874,227.5
289.0,0.8623,1.7246,230.0
290.0,0.8259,1.6519,228.5
291.0,0.6967,1.3935,229.5
292.0,0.7279,1.4558,232.0
293.0,0.7489,1.4978,231.0
294.0,0.5234,1.0467,230.5
295.0,0.7924,1.5849,230.0
296.0,0.7744,1.5489,231.0
297.0,0.7835,1.567,230.0
298.0,0.8621,1.7242,232.0
299.0,0.8171,1.6341,232.0
300.0,0.6241,1.2483,231.0
301.0,0.5914,1.1828,231.0
302.0,0.8193,1.6387,228.5
303.0,0.8996,1.7992,229.5
304.0,0.8023,1.6045,227.5
305.0,0.7061,1.4121,231.0
306.0,0.7745,1.5491,227.5
307.0,0.7937,1.5874,228.0
308.0,0.8344,1.6689,228.5
309.0,0.7165,1.4329,231.5
310.0,0.8777,1.7555,230.0
311.0,0.9169,1.8338,230.0
312.0,0.6109,1.2218,231.5
313.0,0.6565,1.3129,227.5
314.0,0.7221,1.4443,228.0
315.0,0.79,1.58,231.0
316.0,0.8311,1.6622,231.0
317.0,0.6514,1.3028,230.0
318.0,0.6703,1.3405,229.5
319.0,0.8803,1.7605,229.5
320.0,0.7825,1.565,229.5
321.0,0.5593,1.1186,227.5
322.0,0.6827,1.3655,227.5
323.0,0.9672,1.9345,228.0
324.0,0.8345,1.6691,228.0
325.0,0.8509,1.7017,228.0
326.0,0.9002,1.8005,229.0
327.0,0.6428,1.2857,229.0
328.0,0.7094,1.4188,230.0
329.0,0.7654,1.5307,227.5
330.0,0.8349,1.6697,231.5
331.0,0.6058,1.2116,230.0
332.0,0.6276,1.2552,230.5
333.0,0.7997,1.5995,231.5
334.0,0.8519,1.7038,231.5
335.0,0.8602,1.7204,231.5
336.0,0.5602,1.1205,228.5
337.0,0.5022,1.0044,230.5
338.0,0.7332,1.4664,228.5
339.0,0.7979,1.5957,228.5
340.0,0.7669,1.5338,228.5
341.0,0.8628,1.7256,229.0
342.0,0.5962,1.1924,229.5
343.0,0.9547,1.9095,229.5
344.0,0.6959,1.3917,228.5
345.0,0.6481,1.2962,232.5
346.0,0.9234,1.8468,228.5
347.0,0.9137,1.8274,232.0
348.0,0.573,1.146,228.5
349.0,0.9531,1.9062,230.5
350.0,0.8787,1.7574,230.5
351.0,0.548,1.0959,229.0
352.0,0.9333,1.8665,230.5
353.0,0.891,1.7821,227.5
354.0,0.7016,1.4032,227.5
355.0,0.7086,1.4172,232.0
356.0,0.6537,1.3073,231.0
357.0,0.8846,1.7691,227.5
358.0,0.737,1.4741,227.5
359.0,0.6446,1.2891,227.5
360.0,0.6203,1.2407,231.0
361.0,0.8514,1.7027,229.5
362.0,0.836,1.672,229.0
363.0,0.6634,1.3268,231.5
364.0,0.6914,1.3828,229.5
365.0,0.8357,1.6714,230.5
366.0,0.6641,1.3281,230.5
367.0,0.5801,1.1603,230.5
368.0,0.7554,1.5107,232.5
369.0,0.5776,1.1552,229.0
370.0,0.9533,1.9066,232.0
371.0,0.8826,1.7652,232.0
372.0,0.9121,1.8241,232.0
373.0,0.8412,1.6824,228.5
374.0,0.6174,1.2348,232.5
375.0,0.5509,1.1018,232.5
376.0,0.6277,1.2554,228.0
